City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
88,Presidente Medici,BR,-11.1753,-61.9014,74.35,74.35,93,97,2.64,light rain,2021-01-17 23:58:41
89,Kodiak,US,57.79,-152.4072,39.2,39.2,70,90,17.27,overcast clouds,2021-01-17 23:54:43
90,Kolodeznyy,RU,51.3333,39.1833,1.4,1.4,78,0,2.24,clear sky,2021-01-17 23:58:41
91,Namibe,AO,-15.1961,12.1522,72.68,72.68,76,93,9.42,overcast clouds,2021-01-17 23:58:41
92,Pokrovsk,UA,48.282,37.1758,11.08,11.08,96,100,9.91,snow,2021-01-17 23:58:41
93,Nome,US,64.5011,-165.4064,7.0,3.2,85,1,5.48,clear sky,2021-01-17 23:53:45
94,Lesnoy,RU,57.6198,63.0784,-2.43,-2.43,92,78,7.81,broken clouds,2021-01-17 23:58:41
95,Port Elizabeth,ZA,-33.918,25.5701,66.2,66.2,82,75,2.3,broken clouds,2021-01-17 23:58:41
96,Nikolskoye,RU,59.7035,30.7861,18.0,15.01,93,75,4.47,snow,2021-01-17 23:58:41
97,Mulanje,MW,-16.0316,35.5,73.89,73.89,75,100,3.51,light rain,2021-01-17 23:58:42
98,Khatanga,RU,71.9667,102.5,-25.89,-25.89,81,0,14.09,clear sky,2021-01-17 23:58:42
99,Hudiksvall,SE,61.729,17.1036,18.0,18.0,97,11,1.99,few clouds,2021-01-17 23:58:42
100,Lebu,CL,-37.6167,-73.65,57.61,57.61,81,0,20.58,clear sky,2021-01-17 23:58:42
101,Flinders,AU,-34.5833,150.8552,80.01,77.0,58,10,1.99,clear sky,2021-01-17 23:58:42
102,Ziezmariai,LT,54.8,24.45,-4.0,-5.8,77,90,1.14,light snow,2021-01-17 23:58:42
103,Laramie,US,41.3114,-105.5911,35.6,33.01,44,75,20.71,broken clouds,2021-01-17 23:58:42
104,Opuwo,NA,-18.0607,13.84,66.54,66.54,60,100,4.72,overcast clouds,2021-01-17 23:58:42
105,Nanortalik,GL,60.1432,-45.2371,26.92,26.92,93,100,5.21,overcast clouds,2021-01-17 23:58:43
106,Sur,OM,22.5667,59.5289,66.9,66.9,57,2,4.14,clear sky,2021-01-17 23:58:43
107,Victoria,HK,22.2855,114.1577,54.0,46.0,51,60,1.01,broken clouds,2021-01-17 23:55:25
108,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,64.4,63,75,6.91,broken clouds,2021-01-17 23:58:43
109,Korla,CN,41.7597,86.1469,13.96,13.96,83,21,1.14,few clouds,2021-01-17 23:58:43
110,Tubmanburg,LR,6.8708,-10.8172,73.4,73.4,94,0,1.88,clear sky,2021-01-17 23:58:43
111,Isangel,VU,-19.55,169.2667,86.0,86.0,84,40,6.91,scattered clouds,2021-01-17 23:58:43
112,Port Alfred,ZA,-33.5906,26.891,66.0,66.0,88,65,6.76,broken clouds,2021-01-17 23:58:44
113,General Roca,AR,-39.0333,-67.5833,89.6,89.6,25,0,3.44,clear sky,2021-01-17 23:58:44
114,Puerto Escondido,MX,15.85,-97.0667,80.6,80.6,69,40,2.19,scattered clouds,2021-01-17 23:58:44
115,San Jose,US,37.3394,-121.895,77.0,71.6,22,20,4.61,few clouds,2021-01-17 23:53:49
116,Yellowknife,CA,62.456,-114.3525,1.4,1.0,85,90,5.75,light snow,2021-01-17 23:58:44
117,Saint George,US,37.1041,-113.5841,61.0,59.0,18,1,0.43,clear sky,2021-01-17 23:58:44
118,Leshukonskoye,RU,64.8989,45.7622,-9.06,-9.06,91,70,3.56,broken clouds,2021-01-17 23:58:44
119,Constitucion,CL,-35.3333,-72.4167,61.48,61.48,71,0,15.17,clear sky,2021-01-17 23:58:44
120,Pasinler,TR,39.9803,41.6764,30.2,30.2,93,75,2.77,light snow,2021-01-17 23:58:44
121,Maneadero,MX,31.7167,-116.5667,64.0,64.0,83,0,4.0,clear sky,2021-01-17 23:58:45
122,Gat,IL,31.61,34.7642,53.01,48.99,100,71,8.01,light rain,2021-01-17 23:58:45
123,Kahului,US,20.8947,-156.47,80.6,70.0,65,75,9.22,moderate rain,2021-01-17 23:54:12
124,Cidreira,BR,-30.1811,-50.2056,73.76,73.76,93,100,13.44,moderate rain,2021-01-17 23:58:45
125,North Platte,US,41.1239,-100.7654,42.8,42.8,31,1,4.61,clear sky,2021-01-17 23:58:45
126,Greeley,US,40.4233,-104.7091,44.6,37.99,33,75,6.91,broken clouds,2021-01-17 23:56:01
127,Caucaia,BR,-3.7361,-38.6531,82.4,81.0,69,20,10.36,few clouds,2021-01-17 23:58:45
128,Pevek,RU,69.7008,170.3133,-28.97,-28.97,86,47,4.05,scattered clouds,2021-01-17 23:58:45
129,Ramos,PH,15.6833,120.6333,75.2,75.2,73,75,2.3,broken clouds,2021-01-17 23:58:45
130,Cherskiy,RU,68.75,161.3,-33.75,-33.75,83,85,2.66,overcast clouds,2021-01-17 23:58:45
131,Broome,US,42.2506,-75.833,36.0,32.0,69,90,12.66,overcast clouds,2021-01-17 23:58:45
132,Rabat,MA,33.9911,-6.8401,42.8,42.8,100,41,3.44,mist,2021-01-17 23:58:46
133,Las Vegas,US,36.175,-115.1372,69.8,63.0,15,1,6.91,clear sky,2021-01-17 23:57:30
134,Avera,US,33.194,-82.5271,44.6,39.2,57,1,3.44,clear sky,2021-01-17 23:58:46
135,Qasigiannguit,GL,68.8193,-51.1922,21.2,21.2,79,75,13.8,broken clouds,2021-01-17 23:58:46
