City_ID,City,Country,Max Temp,Min Temp,Current Description,Lat,Lng,Hotel Name
112,Port Alfred,ZA,66.0,66.0,broken clouds,-33.5906,26.891,The Halyards Hotel
113,General Roca,AR,89.6,89.6,clear sky,-39.0333,-67.5833,Hotel El Recreo
114,Puerto Escondido,MX,80.6,80.6,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
115,San Jose,US,77.0,71.6,few clouds,37.3394,-121.895,The Westin San Jose
119,Constitucion,CL,61.48,61.48,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
121,Maneadero,MX,64.0,64.0,clear sky,31.7167,-116.5667,Casa De Thompson
123,Kahului,US,80.6,70.0,moderate rain,20.8947,-156.47,Maui Seaside Hotel
124,Cidreira,BR,73.76,73.76,moderate rain,-30.1811,-50.2056,Hotel Castelo
127,Caucaia,BR,82.4,81.0,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
129,Ramos,PH,75.2,75.2,broken clouds,15.6833,120.6333,La Romana Countryside Haven
133,Las Vegas,US,69.8,63.0,clear sky,36.175,-115.1372,Plaza Hotel & Casino
138,Araouane,ML,62.46,62.46,scattered clouds,18.9048,-3.5265,
140,Geraldton,AU,87.8,87.8,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
144,Kavaratti,IN,81.79,81.79,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
145,Leo,BF,72.41,72.41,broken clouds,11.1,-2.1,Hotel Sissilis
149,Puerto Ayora,EC,78.01,78.01,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
152,Karratha,AU,96.44,96.44,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
153,Limpapa,PH,77.0,77.0,light rain,7.1197,121.9106,Woodland Resort
154,Jawhar,SO,71.31,71.31,broken clouds,2.7809,45.5005,cosoble spare parts
156,El Dorado,US,66.2,64.0,clear sky,38.7666,-120.5177,Bridal Veil Campground
157,Varzea Grande,BR,77.0,77.0,scattered clouds,-15.6467,-56.1325,Hotel Express
158,Kawalu,ID,75.09,75.09,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
160,Chicama,PE,73.02,73.02,scattered clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
161,Kalabo,ZM,70.05,70.05,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
163,Ribeira Grande,PT,62.58,62.58,light rain,38.5167,-28.7,Quinta da Meia Eira
164,Huarmey,PE,70.86,70.86,broken clouds,-10.0681,-78.1522,Hotel Miramar
165,Kibala,TD,73.4,73.4,clear sky,9.1104,18.3463,
167,Santiago,CL,84.2,82.4,clear sky,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
168,Saint-Joseph,RE,77.0,75.99,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
170,Fayaoue,NC,82.87,82.87,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
