City_ID,City,Country,Max Temp,Min Temp,Current Description,Lat,Lng,Hotel Name
596,Monrovia,LR,75.2,75.2,mist,6.3005,-10.7969,Sunset Inn
598,Rancho Palos Verdes,US,75.99,71.01,clear sky,33.7445,-118.387,Terranea Resort
600,Springbok,ZA,60.91,60.91,clear sky,-29.6643,17.8865,Undulata Country Lodge
602,Kirakira,SB,86.31,86.31,light rain,-10.4544,161.9205,SanBiz Lodge
603,Dubbo,AU,78.8,78.8,few clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
604,Chimore,BO,69.96,69.96,moderate rain,-16.9833,-65.1333,Bichito
608,Bundibugyo,UG,70.38,70.38,broken clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
609,Roebourne,AU,92.86,92.86,few clouds,-20.7833,117.1333,Harding River Caravan Park
613,Ahipara,NZ,68.52,68.52,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
615,Noumea,NC,86.0,86.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
617,San Francisco,US,71.6,64.0,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
620,Sinnamary,GF,77.68,77.68,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
625,Petauke,ZM,67.71,67.71,light rain,-14.2426,31.3253,Newline Lodge
626,Kasongo-Lunda,CD,68.4,68.4,overcast clouds,-6.4667,16.8167,
628,Kirando,TZ,71.96,71.96,broken clouds,-7.4167,30.6,Lakeshore Lodge
632,Mwanza,TZ,68.0,68.0,few clouds,-2.5167,32.9,Gold Crest Hotel
636,Puerto Baquerizo Moreno,EC,75.13,75.13,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
637,Coahuayana,MX,80.6,80.6,broken clouds,18.7333,-103.6833,Hotel Los Arcos
640,Lagos,NG,80.6,80.6,clear sky,6.5833,3.75,
641,Calama,CL,66.2,66.2,clear sky,-22.4667,-68.9333,Park Hotel Calama
642,Agogo,GH,73.47,73.47,few clouds,6.8,-1.0819,Tele Centre Hotel
643,Patrocinio,BR,68.0,68.0,light rain,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
644,Iquique,CL,73.4,73.4,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
646,Sonoita,MX,75.0,75.0,clear sky,31.85,-112.8333,Hotel Nora
647,Dicabisagan,PH,72.91,72.91,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
648,Pangai,TO,86.0,86.0,few clouds,-19.8,-174.35,Ha'apai Beach Resort
650,Praya,CV,71.6,71.6,clear sky,14.9215,-23.5087,LT Aparthotel
652,Mazagao,BR,84.2,84.2,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
653,Miranda,CO,68.25,68.25,light rain,3.2499,-76.2281,unidiversidad organica la utopia
654,Carutapera,BR,78.28,78.28,broken clouds,-1.195,-46.02,Lidera
661,Kattivakkam,IN,69.8,69.8,mist,13.2167,80.3167,Raj's villa
662,Ranau,MY,71.6,71.6,scattered clouds,5.9538,116.6641,Ranau Backpackers Hostel
663,Rabaul,PG,82.71,82.71,broken clouds,-4.1967,152.1721,Rabaul Hotel
664,Severiano Melo,BR,78.48,78.48,overcast clouds,-5.7772,-37.9578,Chácara Bela Vista
665,Collie,AU,76.66,76.66,scattered clouds,-33.3667,116.15,Collie Ridge
666,Mandera,KE,78.73,78.73,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
669,Malakal,SS,77.72,77.72,few clouds,9.5334,31.6605,Nile Palace Hotel
670,Santa Rita Do Passa Quatro,BR,71.6,71.6,overcast clouds,-21.7103,-47.4781,Pousada da Colina
673,Jizan,SA,77.0,77.0,few clouds,17.3333,42.6667,شهدان. ابوالحجر
674,Manta,EC,82.4,82.4,scattered clouds,-0.95,-80.7333,Balandra Hotel
675,Sungaipenuh,ID,65.77,65.77,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
677,Gold Coast,AU,79.0,75.99,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
679,Kilifi,KE,76.6,76.6,broken clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
